"Answer_deepseek-r1","Answer_digital-umuganda-mt","Answer_gemini-pro2.5","Answer_google-translate","Answer_gpt-4o","Answer_gpt-o3-mini","Answer_sonnet-3.7"
"Ushobora gusaba uburenganzira bwo gufasha ukoresheje Irembo ku rubuga: Injira -> Serivisi z'Abafasha -> Kwiyandikisha","Gufungura amarembo igihe kirekire birashobora gukurura umutekano muke no kwinjira utabifitiye uburenganzira. Ni ngombwa kubahiriza amasaha yakazi kugirango umutekano numutekano wabakozi nabakiriya. Niba ushaka gufasha abantu kubona serivisi zinzira, urashobora kubikora mugihe cyamasaha yagenwe.","Tubitangire imbabazi kubera gutinda gutanga uburenganzira. Turimo gukorana umwete kugira ngo twihutishe inzira. Mushobora kureba ku rubuga rwacu cyangwa mugahamagara umurongo w'ubufasha kugira ngo mumenye amakuru agezweho.","Irembo ntabwo yemeye gufungura Irembo kubera umutekano nimpamvu zikorwa. Ariko, urashobora gufasha abantu kubona serivise za Gateway mugutezimbere no gusangira amakuru kubyerekeye serivisi ziboneka binyuze mumiyoboro yemewe.","Irembo irimo gukora ku buryo bwo gufungura uburyo bwo gufasha abandi kubona serivisi. Turakumenyesha igihe bizaba bishoboka.","Turasaba imbabazi ku kuba byatinze kubera imbogamizi z’ikoreshwa; turakorana ibishoboka byose ngo dutange uburenganzira bwihuse.","Turacyakorera ku buryo bwo gutanga uburenganzira bwo gufasha abandi kubona serivisi z'Irembo. Turabimenyesha vuba uko bizagenda."
"Kanda kuri careers.irembo.rw uhitemo akazi ukunda, wandike CV yawe n'inyandiko zose zikenewe","Kuvugana numuntu ushaka akazi muri irembo, barashobora gusura urubuga rwa irembo cyangwa kuvugana nitsinda ryabakiriya ba irembo bakoresheje terefone cyangwa imeri kugirango bahabwe ubufasha hamwe namahirwe yakazi aboneka kurubuga.","Ushobora kureba ku rubuga rwacu rwa Irembo ahandikirwa imyanya y'akazi ishyirwaho, cyangwa ukohereza umwirondoro wawe kuri aderesi yacu y'amakuru rusange.","Kubaza amahirwe yakazi muri Iregate, abantu barashobora gusura urubuga rwa Iregate cyangwa bakabaza ishami ryabo rishinzwe abakozi binyuze kuri imeri cyangwa terefone kugirango bagaragaze ko bashimishijwe kandi babaze imyanya ihari.","Ushobora kuvugana n'ishami ry'abakozi ba Irembo unyuze ku rubuga rwabo cyangwa ukabandikira kuri email yabo.","Wakwandikira serivisi z’itangazamakuru za Irembo cyangwa ugakoresha urubuga rwacu kugira ngo ubone amakuru y’akazi.","Umuntu ashaka akazi mu Irembo ashobora kohereza CV ye kuri email yacu careers@irembo.rw cyangwa akajya ku rubuga rwacu agakurikiza amabwiriza yo gusaba akazi."
"Koresha code ya QR iri ku cyangombwa cyawe kuri Irembo, uhitemo 'Kwishyura Umusoro' ukurikize amabwiriza","Niba waratakaje impapurompamo z'ubutaka bwawe ukaba ukeneye kwishyura umusoro w'ubutaka mu rwanda, ushobora gusaba impapurompamo z'ubutaka z'inyigana binyuze mu biro bishinzwe kwandika ubutaka. Umaze kugira impapuro zingana, urashobora gukomeza kwishyura umusoro w'ubutaka ku biro by'ikigo cy'imisoro n'amahoro (rra) cyangwa kumurongo ukoresheje urubuga rwabo.","Kugira ngo ubone icyangombwa cy'ubutaka bundi bushya, wagana ikigo cy'igihugu gishinzwe ubutaka cyangwa ukoreshe urubuga rwa Irembo (irembo.gov.rw) usaba kopi yacyo. Uzakenera gutanga ibisobanuro by'ubutaka bwawe.","Niba waratakaje ubutaka bwawe mu Rwanda, uzakenera gusaba titre ebyiri kubiro bishinzwe iyandikisha ry&#39;ubutaka. Umaze kugira titre duplicate, urashobora gukomeza kwishyura imisoro yubutaka nkuko leta ibisabwa.","Ushobora gusaba icyemezo gishya cy'ubutaka unyuze kuri serivisi za Irembo cyangwa ukagana ibiro by'ubutaka by'akarere.","Nyamuneka saba icyemezo gishyashya cy’ubutaka mu biro byacu cyangwa ukoreshe serivisi zacu kuri Irembo zifasha kuvugurura inyandiko.","Ushobora gusaba kopi y'icyangombwa cy'ubutaka mu biro by'ubutaka byo mu karere kawe. Uzakenera kwerekana indangamuntu yawe n'inyemezabwishyu y'amafaranga asabwa."
"Pasiporo zishobora gutwara iminsi 3-5 nyuma y'uko ibisabwa byuzuye. Reba status yawe kuri Irembo buri munsi","Yego, nshobora kugufasha gusaba pasiporo binyuze muri serivisi za irembo mu rwanda. Urashobora gusura urubuga rwa irembo cyangwa porogaramu igendanwa kugirango utangire gahunda yawe yo gusaba kumurongo.","Birashoboka ko hari ikibazo cya tekiniki. Gerageza kongera cyangwa uhamagare umurongo wacu w'ubufasha kuri [Nimero ya telefone y'Irembo] kugira ngo bagufashe mu gusaba pasiporo.","Nibyo, ndashobora kugufasha gusaba pasiporo binyuze muri serivisi za Irembo mu Rwanda. Nyamuneka mpa amakuru akenewe hamwe ninyandiko, kandi nzakuyobora muburyo bwo gusaba.","Turashishikariza gukomeza kugerageza cyangwa ukagana ibiro by'abinjira n'abasohoka kugira ngo bagufashe.","Twandikire kuri serivisi za Irembo maze tukuyobore mu buryo bwo gusaba pasiporo.","Ntibishoboka ko tukwiyandikishiriza pasiporo. Ariko ushobora gusaba ubufasha bwo kuzuza neza inyandiko za ngombwa. Nyamuneka, gerageza kongera cyangwa utugane ku biro byacu."
"Koresha serivisi ya 'Code Recovery' kuri Irembo, ukazana indangamuntu yemewe nka kopi y'irangamimerere.","Oya, irembo si irembo. Irembo ni urubuga rwa interineti mu rwanda rutanga serivisi za leta ku baturage n'ubucuruzi.","Hari igihe code ishobora gutinda kubera impamvu za tekiniki cyangwa verifikasiyo. Ushobora kureba kuri konti yawe ya Irembo cyangwa ukavugisha serivisi z'abakiriya kugira ngo bakurikirane ikibazo cyawe.","Oya, Irembo ntabwo ari irembo. Irembo ni urubuga rwa interineti mu Rwanda rutanga serivisi za leta kubaturage nubucuruzi.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona iyo code.","Icyo kibazo gikunze guterwa n’ikibazo mu kugenzura amakuru; nyamuneka vugana n’abashinzwe gufasha abakiriya kugira ngo bakurikirane ikibazo cyawe.","Iyo utaboye code nyuma yo kwiyandikisha, ushobora guhamagara umurongo wacu w'ubufasha kuri 9099 cyangwa ukandika ubutumwa kuri support@irembo.rw tukagufasha kubona code yawe."
"Koresha SMS service wo gukora ubusabe bwa SMS ukoresheje *909# kuri telefoni yawe.","Urashobora kugarura ubutumwa bwabuze winjiye muri konte yawe ya irembo hanyuma ukagera kumateka yubutumwa. Jya gusa kumutwe wubutumwa kurubuga kugirango usubiremo amakuru yose yingenzi ushobora kuba warabuze.","Ushobora gusaba ko bakongera kukohereza ubutumwa ukoresheje konti yawe ya Irembo cyangwa ukahamagara umurongo w'ubufasha wabo. Tegura nimero yawe y'irangamuntu cyangwa dosiye.","Urashobora kubona ubutumwa winjiye muri konte yawe ya Irembo ukareba amateka yubutumwa bwawe. Niba udashoboye kuyimenya, urashobora kwegera abakiriya ba Irembo kugirango bagufashe mugutanga ubutumwa mbere yikizamini cyawe ejo.","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe.","Nyamuneka saba ubutumwa bwo kwibutsa mu buryo bwihuse hifashishijwe serivisi zacu za Irembo.","Ushobora kongera kwinjira ku konti yawe ya Irembo ukareba ubutumwa bwose, cyangwa ukaduhamagara kuri 9099 tukagufasha kubona ubutumwa bwabuze."
"Italiki zose zerekana kuri konti yawe ya Irembo. Kanda 'Exam Schedule' muri menu y'ibikorwa.","Kugirango ubone itariki yikizamini cyawe, urashobora kwinjira kuri konte yawe ya irembo aho wiyandikishije mukizamini. Umaze kwinjira, ugomba gushobora kureba itariki yikizamini cyawe mumwirondoro wawe cyangwa ibice biri imbere.","Ushobora kureba itariki y'ikizamini cyawe winjiye kuri konti yawe ya Irembo ahanditse 'Ibyo nasabye', cyangwa ugahamagara umurongo wabo w'ubufasha kuri [Nimero ya telefone y'Irembo].","Kugirango ugarure itariki yawe y&#39;ibizamini, urashobora kwinjira kuri konte yawe ya Irembo hanyuma ukareba gahunda uzaza cyangwa ukabaza akanama gashinzwe ibizamini kugirango ubafashe.","Ushobora kwinjira mu rubuga rwa Irembo ukareba italiki y'ikizamini cyawe cyangwa ukabaza abakozi ba Irembo.","Kanda ku rubuga rwa Irembo cyangwa uhamagare serivisi zacu kugira ngo ubone amakuru y’itariki y’ikizamini.","Ushobora kwinjira ku konti yawe ya Irembo ukareba amakuru y'ikizamini cyawe. Niba ukomeza kugira ibibazo, duhamagare kuri 9099 tukagufasha."
"Twakiriye ubusabe bwawe. Turabagerageza guhera mu masaha 24 ataha. Mwongere mugerageze nyuma y'igice cy'isaha.","Niba wiyandikishije kuri serivisi hamwe na irembo mwijoro ryakeye ukaba ukeneye kwishyura, urashobora kubikora byoroshye ukoresheje uburyo bwo kwishyura. Ubushake bwawe bwo gufasha burashimwa, kandi urashobora kugera kubufasha bwabakiriya kubufasha ubwo aribwo bwose ushobora gukenera.","Bishobora guterwa n'ikibazo cy'igihe gito muri sisitemu yo kwishyura. Gerageza kongera nyuma gato cyangwa ukoreshe ubundi buryo bwo kwishyura bushoboka. Niba bikomeje, hamagara ubufasha bw'abakiriya.","Niba wiyandikishije mwijoro ryakeye kandi ukaba ugifite ibibazo byo kwishyura, nyamuneka wegera abakiriya ba Irembo kugirango bagufashe. Bazashobora kugufasha gukemura ibibazo byose bijyanye no kwishura no kwemeza inzira nziza kuri wewe.","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe.","Tegereza gato cyangwa uhamagare serivisi zacu kugira ngo utange ikibazo cyawe ku bijyanye no kwishyura neza.","Ushobora kugerageza ubundi buryo bwo kwishyura nk'ikofi, MTN Mobile Money cyangwa ukoresha banki. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
"Numero ya dosiye irasanga kuri email yawe yakiriye ubusabe. Turabifashisha niba utabibona.","Mumbabarire, ariko sinshobora gutanga nimero yihariye ya dosiye.  Ariko, urashobora kuvugana ibiro cyangwa ishami bireba aho watanze icyifuzo cyawe kugirango ugarure numero ya dosiye.","Ushobora gusanga numero ya dosiye yawe muri SMS cyangwa email wakiriye nyuma yo gusaba. Niba utayibona, hamagara serivisi z'abakiriya za Irembo ufite amakuru yawe bwite, baragufasha.","Kubwamahirwe, nkumufasha, ntabwo nshobora kubona amakuru yihariye nka numero ya dosiye yawe. Ndasaba kuvugana ninzego zibishinzwe cyangwa itsinda rya serivisi ryabakiriya ba Irembo kugirango bagufashe kugarura numero yawe ya dosiye kugirango usabe indangamuntu.","Ushobora kuvugana n'ubuyobozi bwa Irembo kugira ngo bagufashe kubona iyo numero ya dosiye.","Nyamuneka reba mu nyandiko zawe cyangwa uhamagare serivisi z’abakiriya za Irembo kugira ngo ubone numero ya dosiye yawe.","Ushobora kwinjira ku konti yawe ya Irembo ukareba amakuru y'ubusabe bwawe. Cyangwa udutumire kuri 9099 tukagufasha kubona numero ya dosiye yawe."
"Koresha serivisi ya Document Download kuri Irembo -> Amavuko -> Shyiramo numero y'irangamimerere -> Kanda 'Download PDF'","Niba ugerageza kwigana icyemezo cy'amavuko cyawe ariko ufite ibibazo, ni byiza ko wasura ikigo cya serivise z'irembo kiri hafi kugirango ugihe ubufasha. Barashobora kugufasha kumenya ikibazo no gutanga inama zuburyo bwo gukomeza kubona kopi yinyandiko yawe y'amavuko.","Gerageza gukoresha indi internet browser cyangwa uhanagure cache ya browser yawe. Niba ikibazo gikomeje, bishobora kuba ari ikibazo cya seriveri. Ongera ugerageze nyuma gato cyangwa uvugishe ubufasha bwa Irembo.","Niba uhuye nibibazo byo gukuramo icyemezo cyamavuko kuri Irembo, nyamuneka urebe ko ufite umurongo wa interineti uhamye kandi ugerageze kuvugurura page cyangwa gukuraho cache ya mushakisha yawe. Niba ikibazo gikomeje, urashobora guhamagara abakiriya ba Irembo kugirango bagufashe.","Gerageza kongera kugerageza cyangwa uvugane n'abakozi ba Irembo kugira ngo bagufashe.","Icyo kibazo gishobora guterwa n’imikorere ya sisitemu; vugana n’itsinda rishinzwe ikoranabuhanga kuri Irembo kugira ngo bagufashe.","Gerageza gusiba cache y'urubuga cyangwa ukoresha browser itandukanye. Niba ikibazo gikomeje, duhamagare kuri 9099 tukagufasha."
