"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Ushobora gusaba uburenganzira bwo gufasha ukoresheje Irembo ku rubuga: Injira -> Serivisi z'Abafasha -> Kwiyandikisha"
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Kanda kuri careers.irembo.rw uhitemo akazi ukunda, wandike CV yawe n'inyandiko zose zikenewe"
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Koresha code ya QR iri ku cyangombwa cyawe kuri Irembo, uhitemo 'Kwishyura Umusoro' ukurikize amabwiriza"
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Pasiporo zishobora gutwara iminsi 3-5 nyuma y'uko ibisabwa byuzuye. Reba status yawe kuri Irembo buri munsi"
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Koresha serivisi ya 'Code Recovery' kuri Irembo, ukazana indangamuntu yemewe nka kopi y'irangamimerere."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Koresha SMS service wo gukora ubusabe bwa SMS ukoresheje *909# kuri telefoni yawe."
"Icyumweru gishize niyandikishije ku kizamini ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Italiki zose zerekana kuri konti yawe ya Irembo. Kanda 'Exam Schedule' muri menu y'ibikorwa."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Twakiriye ubusabe bwawe. Turabagerageza guhera mu masaha 24 ataha. Mwongere mugerageze nyuma y'igice cy'isaha."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Numero ya dosiye irasanga kuri email yawe yakiriye ubusabe. Turabifashisha niba utabibona."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Koresha serivisi ya Document Download kuri Irembo -> Amavuko -> Shyiramo numero y'irangamimerere -> Kanda 'Download PDF'"
