"Question","Answer"
"Kubera iki mumaze igihe kinini mutaduha uburenganzira bwo gufungura Irembo ryacu? Ndashaka nanjye kujya mfasha abantu kubona serivisi z'Irembo","Ushobora gusaba uburenganzira bwo gufasha abandi ukoresheje Irembo. Injira ku rubuga, ukore konti y'umufasha, hanyuma utegereze icyemezo cya REB."
"Ese umuntu ashaka akazi mu Irembo yabavugisha gute?","Koresha serivisi za Irembo kwiyandikisha kuri careers.irembo.rw cyangwa unyuze kubiro by'Irembo ho mu karere kawe."
"Icyangombwa cyanjye cy'ubutaka narakibuze kandi ngejeje igihe cyo gutanga umusoro, ubwo nakibona gute ngo mbashe kwishyura imisoro","Ushobora kwishyura imisoro unyuze kuri Irembo ukoresheje code ya QR iri ku cyangombwa cyawe cy'ubutaka."
"Ese ko mbona gusaba pasiporo bitari gukunda mwamfasha kuyinsabira","Turabashishikariza gutegereza amasaha atari menshi cyane. Pasiporo zishobora gutwara iminsi 3-5 nyuma y'uko ibisabwa byose byuzuye."
"Ese Irembo, iyo umuntu amaze kwiyandikisha kuri permit ntabone code yiwe biba byagenze gute ubwo?","Ushobora kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za permit, ukore kwenye amakuru yawe ya permit, hanyuma ukore kwenye code ya permit."
"Aka message mwampaye narakabuze kandi ejo mfite examen. nakabona gute?","Ushobora kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za examen, ukore kwenye amakuru yawe ya examen, hanyuma ukore kwenye message yawe."
"Icyumweru gishize niyandikishije ku kizamini ariko sinibuka italiki y'ikizamini. Munyibutse italiki","Ushobora kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za examen, ukore kwenye amakuru yawe ya examen, hanyuma ukore kwenye italiki yawe ya examen."
"Nijoro niyandikishije ariko ndi kwishyura bikanga. Kandi ndabishaka cyane mumfashe","Ushobora kwishyura bikanga unyuze kuri Irembo ukoresheje code ya QR iri ku bikanga byawe."
"Nasabye icyemezo gisimbura indangamuntu ariko ntabwo nibuka numero yanjye ya dosiye. Mwanyibutsa?","Ushobora kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za indangamuntu, ukore kwenye amakuru yawe ya indangamuntu, hanyuma ukore kwenye numero yawe ya dosiye."
"Ndikugerageza kudownloadinga icyemezo cyanjye cy'amavuko nk'ibisanzwe ariko ntibikunda sinzi ikibazo kirimo","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za icyemezo, ukore kwenye amakuru yawe ya icyemezo, hanyuma ukore kwenye download."
"Maze kwiyandikisha ariko nsanze nashyizemo kuzakorera Rusizi kandi nashakaga Musanze. Munkuriremo iyo dosiye nongere niyandikishe","Ushobora kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za dosiye, ukore kwenye amakuru yawe ya dosiye, hanyuma ukore kwenye kubadilisha ahantu."
"Ese birashoboka ko mwampindurira uwo twari kuzashakana nkashyiraho undi. Nandikishije ishyingirwa ariko uwo twari kuzashakana yarabyanze nshaka undi","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za ishyingirwa, ukore kwenye amakuru yawe ya ishyingirwa, hanyuma ukore kwenye kubadilisha ahantu."
"Ndashaka kwishyura imisoro hakiri kare bataramfungira.","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za imisoro, ukore kwenye amakuru yawe ya imisoro, hanyuma ukore kwenye kwishyura."
"Nabonye ku mbuga zanyu mwatumenyesheje ko mushobora kudufasha gusimbuza amafoto yo ku ndangamuntu, ndasabwa iki?","Turabashishikariza kujya kwa konti yawe ya Irembo, ukore kwenye serivisi za indangamuntu, ukore kwenye amakuru yawe ya indangamuntu, hanyuma ukore kwenye kubadilisha amafoto."
